Title,Username,Tanggal,Review
" Still mindblown
",superbluefishycannon,4 July 2022,I have a weird routine of watching this movie every year and I am still nuts about this movie. The concept of time travel and gravity have always boggled us. What if all of it is real? What if part of the movie is non-fiction?
" To the stars - away from the common sense!
",foxtrot-21,9 November 2014,
" Do not go gentle into that good night
",petra_ste,5 June 2015,"When it comes to endings and general philosophy of storytelling, you can distinguish between two kinds of fiction.The first is soothing, consolatory: characters may face dangers but at the end order is restored. The second is more problematic and offers no easy resolution; by the time the story is over, events have taken a major toll on those involved - maybe they have lost what they wanted, or their achievement is implied to be short-lived. Maybe they wonder if it was even worth it at all.The first kind of fiction is Spielberg, the other Kubrick; the first is Nolan of Memento, the other Nolan of Interstellar.Now, both kinds have their place and there is nothing wrong with more lighthearted fare; in fact, most of the time I'd rather watch a crackling popcorn flick like Raiders of the Lost Ark or Star Wars than a fine but bleak film like, say, The Deer Hunter. The trouble is when you try to mix these two kinds: the result will have major tonal problems.See Interstellar: in a story about entropy and loss, the kind of conclusion this film dishes out just feels wrong after the somber 150 minutes preceding it. It's fluffy and tone-deaf.Pity, because I was enjoying the movie. Acting is effective, with a solid McConaughey and an unusual supporting role for Damon; special mention to young Mackenzie Foy, who is fine as the protagonist's daughter.At its best, Interstellar provides moment of awe (the oceanic planet), compelling dilemmas, tension and pathos (the scene with Cooper leaving in bad terms with his daughter is moving); exposition is clunky-but-interesting in an Inception kind of way. But the movie lost me with its last act.When Hathaway's character (an astronaut) states, unironically, that in our universe love is a force stronger than time and space and then she turns out to be right... well, I'm both religious and a big softie so I should be on board with that... it is, however, both too bluntly expressed and turns into an ending which feels similar to the maudlin Nolan provided in The Dark Knight Rises, only it's even more inappropriate here.6,5/10"
" I Had To Stop Watching...
",soupster1,21 January 2015,
" Best sci-fi ever?
",asda-man,18 November 2014,
" A sci-fi classic
",jaimemedina-36288,7 June 2021,"There's so much going on in this movie. There are so many great performances; there's a beautiful moral, and a lesson or two we can all take to heart. Please forgive the pun if I observe that this is a multi dimensional achievement.I'll not analyze the physics as Thorne has done that sufficiently. And to a person EVERYONE in the cast turns in a great performance.There are so many ways I love this movie: as a movie buff, as a lover of science, as a thinker and a dreamer, as someone concerned about our world, and as a father...I just don't know what more I could ask from a movie. The only thing that comes to mind... a sequel."
" Wanted to Love This
",bosporan,20 March 2022,"Unfortunately it is protracted and drawn out. Kudos for 'showing-not-telling', but there are so many stretches of uninteresting dialogue. Everybody plays their part well - the whole is less than the sum of the parts. Not sure why this is - the cast is strong with good actors I have enjoyed before. Perhaps it is the pretension of becoming the new 2001 overriding the need to make a compelling movie."
" A Philosophical Revelation with Scientific Rationality makes this my Greatest Film-Watching Experience Ever
",jaskunwar993,7 November 2014,
" Rage against the dying of the light.
",twominds79,12 March 2019,"I find it hard to articulate how powerful this film is and how it effects me. Chris Nolan has set the bar higher than he did on 'Inception'. The story is based on probable science , with help from Kip Thorne. The cast is perfect. Matthew McConaughy as the former pilot and everyman' who is battling a desire to do what he is destined to do . Fly an outerspace mission or stay on a dying world and looking after his kids. Nolan regular Michael Caine , Jessica Chastain , Timothee Chalamet and Anne Hathaway round out the main cast. The surprise packet is young Mackenzie Foy who's daughter /father relationship drives the emotional side of the film. The robot TARS was my favourite character in the film. He was the humour and he shows human quality when all seems lost.
Hans Zimmer's score maybe the best he's EVER done! Pulsating and driving and plays on the heart strings like no other score I can remember.
Through the nearly 3 hours I was on the edge of my seat following the crews every move and all the while following the seemingly doomed mankind on earth. It's hard to go into specific parts of the film without spoilers.
I laughed , Cried and cheered with jubilation throughout. An instant 10/10 that gets better on viewing. I can't stress how much I recommend this film. Drop what you're doing!!"
" Ho Hum
",doom-ca,9 November 2014,"This movie is everything I expected it not to be. It was dramatic, but not in a good way. Over dramatic. Far, far too predictable, too Hollywood and anything, and I mean anything but scientific. I'm just going to ask this once - Chris,have you ever actually read any Stephen Hawking? Because then maybe the story line could have taken a turn toward science instead of fairy tale, Hollywood pump up the revenue box office production. Maybe someone on your crew could have consulted with Hawking and came up with an alternate ending. One where people who enter black holes get broken up into their atomic parts such as happens to even light. Instead of some fantasy land Disney ride. Wow what garbage.The trailer in this movie made it look like an amazing adventure in deep space. And yes, don't get me wrong there is space, and a few time deadlines to add in some much needed suspense after one too many porch scenes with Grandpa drinking beer while tending the corn fields. However, what this movie lacked was a sense of logic. I mean really. Flat out.The blight that is taking down the humans seems to be completely overlooked in the movie. There really is no information on it except, our atmosphere has a lot of nitrogen in it which is feeding the blight. ""huh?"" The earth is written off in this movie because of blight? This earth has survived, earthquakes, giant meteorites, plagues, famines, flooding and we are done in by a blight?Fine, we can't feed people so we are headed for the stars, all covertly of course. And our hero just happens to stumble upon NASA. Which wants him to be the pilot, even though he's a reluctant farmer, who was a pilot - because as a pilot he's the best of the best with honors. The script felt like something I would read in an old spaghetti western Clint Eastwood movie. I feel like I threw money away on a cheap plot based on oversimplification of scientific notions and box office greed. And the end: omg it's ""time,"" no, no it's ""gravity,"" no it's time. Just stop. And our protagonist surviving a black hole. What? Because it's not a black hole? Human's built it? Future humans. Probably the one's from Futurama. OK I've seen enough roll credits. However, that said, if you want some good sound, yes the sound was good. Good visuals, nothing gravity didn't do better, and descent acting, almost like Armageddon, yah know, the Bruce Willis stuff. Then indeed this is your movie. Trust me, this is no Inception. If you go, enjoy, just don't go in with high expectations (9.1 on IMDb? really?)or you'll be let down.Oh and the 2001 monolith robots were the highlight of the movie for me. They were good for a couple of laughs. Have a good one."
" Best portrayal of Love
",stefanmitu,7 November 2023,"For a Sci-FI geek and a problem solving brain, ""Love"" does not count for much in your average day by day. But, boy oh boy this one hits you in the feels you didn't know you had.This move is like an Eminem song. It has everything. Love for fame, for science, for your fellow humans, for mother, father and children, for your dead ones, for the unborned ones. You name it.This move reconciles the working class with the intelectual/elite class and puts them in the same level of importance. I have never seen a portrayal of this so balanced.It's the first exploration of the universe as a physical ""need"" and not as a ""curiosity"".This movie has so many nuances and perspectives that a narrow mind like mine cannot explain them accurately. I'll stop here. Just watch it."
" ludicrous story and too sentimental
",krzysiektom,11 November 2014,
" Worth Seeing, but not Spectacular
",atlasmb,17 December 2014,"Great music. An extremely talented cast. Amazing special effects. Captivating issues to contemplate. So why do I think I will not ponder this film long after I have viewed it? The story is convoluted, though interesting. All the drama and mystery and intrigue leads to a finale that tells us what? Well, not really much. But it's a fun trip getting there.I liked many of the characters. And I was invested in their problems and tragedies. But the final ""explanation"" of the film's phenomena has a ""Sixth Sense"" feeling to it. I say see this film for its good points, but don't expect the groundbreaking impact of Kubrick's ""2001"" or the atmospherics of ""Blade Runner"" or the thrilling ride of ""Close Encounters of the Third Kind""."
" vastly overrated
",pontificator,11 November 2014,"reading the other reviews here its hard to conceive that I watched the same movie everyone is gushing about. the central premise is hardly noble although perhaps quite the likely selfish outcome i.e. after trashing this planet lets go trash some others. the black hole visualizations were quite lame. this is not a great sci-fi film even remotely in the league of 2001 although a cursory superficial viewing might suggest so to an unthinking non-sci-fi buff. a great scifi film would naturally start by 1st adapting a great scifi story. these are yet to be made such as ringworld, dyson spheres and fleet of worlds concepts. to think that all these mind boggling stories exist yet this rather old and tired story concept is chosen to lavish money on is strange, although it is somewhat understandable as the afore-mentioned stories would be much greater challenges all around and so its best that they are ignored rather than poorly realized as this primarily propaganda piece."
" Everyone should watch this peice of art
",rwc-65750,21 August 2020,"I regret that I did not see this masterpiece in its time, especially this movie which I enjoyed in all respects, the greatest soundtrack, The interconnected events are insane, the creative representation of all the actors from young to old, the manipulation of time is one of the great things in this movie, finally the ending I did not like it. Because it is unreasonable"
" Nolan is intelligent and will recover but might benefit from making smaller films which can still support some of his bigger ideas.
",Likes_Ninjas90,4 November 2014,"Amidst the stars in the galaxy known as Hollywood a deep mystery remains: who is Christopher Nolan as a filmmaker? After seeing Interstellar in IMAX, his ninth and least satisfying film, the question perpetuates. Nolan is one of the most powerful and bankable directors in the world. Together, his last four films earned nearly four billion dollars. Money builds opportunities and egos in Hollywood and consequently each entry in Nolan's filmography has grown in size and scope. Yet outside of his admiration for 35 mm film and practical effects, grasping Nolan's auteurist imprint is difficult. He says he wants to make the biggest film possible but so does Michael Bay. Nolan's films walk a difficult line, balancing large ideas and explosions, proving blockbusters don't have to be mindless. But these are studio films, without insight into the filmmaker himself like transparent ideological goals. In interviews, Nolan mirrors this impersonal nature. He is softly spoken, measured and serious, concurrent with the thematic goals of his films like the hidden identities of men. In 2010 The Guardian asked if Nolan is the new Stanley Kubrick, a misguided comparison with superficial parallels. Kubrick distanced himself from Hollywood by owning his own cameras and editing equipment. He also relied on the specificity of images to create meaning rather than dialogue, making his films cinematic in form, not merely scope. Stylistically Terrence Malick (The Tree of Life) is a more appropriate companion to Kubrick. Artistically, Nolan shares more in common with Steven Spielberg as both directors inject ideas into the existing framework of sizable studio films. Spielberg was originally hired to direct Interstellar with Nolan's brother Jonathan writing the script from an idea by physicist Kip Thorne. Christopher Nolan replaced Spielberg and helped rewrite his brother's script. The first hour of Jonathan's original script was set on Earth and retained but his brother's decision to refine the space elements has drawn comparisons to Kubrick's flawed masterpiece 2001: A Space Odyssey and Spielberg's Close Encounters of the Third Kind.To this point, I have enjoyed many of Nolan's films but Interstellar's script is terribly inconsistent. Using a mostly narrow, linear structure, the narrative hurls ideas at us about climate change, parenting, space exploration, time travel and alternate dimensions, but the script lacks refinement. The Nolans talk over us, not to us. In a self-conscious move to intellectualise a ""save the world"" story, they substitute detailed characterisation and backstory in favour of impenetrable scientific discussions about relativity and gravity. An embarrassingly rich cast is left to substantiate these thinly realised characters. Cooper, played by Matthew McConaughey, is a former pilot who is now a widowed farmer with two young children, including a girl named Murph (Mackenzie Foy) and an ageing father-in-law (John Lithgow). Cooper, not dissimilar to Richard Dreyfuss in Close Encounters, is an archetype of the reckless parent who is sentimentally motivated by his children and largely only interesting because of McConaughey's predictable charisma. Earth is doomed because of dust storm and droughts, a nod to The Grapes of Wrath, leading Cooper to be tasked by Professor Brand (Michael Caine) with travelling into space and investigating three potentially inhabitable planets. Another major character is Brand's astronaut daughter Amelia (surely named after Amelia Earhart), played by Anne Hathaway. Her reliable expressiveness instills some surface emotions to an otherwise stony character, with no backstory or arc. Other actors are either underused or have distracting cameos. An actress the quality of Jessica Chastain deserved a bigger part but only features deep into the story in a forgettable role as the adult Murph.This time the self-seriousness which gave the Batman films a unique stylistic tone is Nolan's Achilles' heel. While desperate for the story to emotionally resonate, resorting to extended close-ups of Cooper crying for leaving his children behind, he remains unaware of the story's absurdity. It is an insurmountable task when the dialogue is dry, textbook theory and the plotting becomes increasingly ridiculous, attempting to marry between the spaces of a bookcase shelf the pretensions of alternate dimensions with a family melodrama. There are also episodes where the stock characters fail to move us. During the exploration of the first planet a side character is killed, which expectedly strikes a chord with Cooper and Amelia, but matters little to us when we've barely come to know the character's name. Other singular moments remind us of how skillful Nolan is with set pieces. The first entry into outer space is intensely realised, with the galaxy being simultaneously beautiful and dangerous. The infrequency of these emotions stresses how undisciplined the narrative is, particularly in an incoherent, final hour, which doesn't utilise the multilayered structure of The Dark Knight Rises or strike Inception's emotional high notes.Watching the film in the IMAX format is as inconsistent as the narrative. Hoyte van Hoytema, the usually reliable Dutch-Swedish photographer who shot Tinker Tailor Soldier Spy, Her and Let the Right One In with great symmetry, has replaced Nolan's regular photographer Wally Pfister. Surprisingly, the early scenes on Cooper's farmhouse are poorly lit and the images are muddy and graining, a deliberate imitation of the sandstorms, but an ugly choice all the same. Other shots use the full volume of the IMAX screen and the scale is impressive. Some of the galactic images are awe-inspiring and vivid but their scarcity coupled with the tight, obstructed camera-work inside the spacecraft, is disappointing. Uncharacteristically, Nolan's pacing is also laborious, dragging the film to his longest running time of nearly three hours. The film isn't as calculated as 2001, a difficult feat for any director, but pales substantially to last year's terrific Alfonso Cuaron film Gravity, which eclipses Interstellar for precision. It was made for sixty-five million dollars less. It is half the length and aside from being a technically superior film, it understands the futility of a large canvas unless our emotional investment is supported by strong characters."
" Epic in every way!
",sanjay219,4 November 2014,"Just watched Interstellar in imax 70mm. Science Fiction fans can read on, everyone else can skip. Movie is a visual masterpiece. Like his earlier movies, Christopher Nolan once again proved, how big a movie can be! There were some shots,which made audience go crazy..Some scenes were as epic as 2001: A Space Odyssey. Do not go into the theatre expecting an action packed cerebral thriller. This one is not for action fans. At times, movie go highly sentimental( Matthew McConaughey does what he is best in and supposed to). I recommend this movie to all the Sci-Fi fans out there, make sure you go in group of sci-fi nuts!! Do not go with the hype..Go, sit back and enjoy. Just like Inception, this movie will be known as great after few months(I know people who said Inception was a crap when it released, and after few months rating it 10/10 in IMDb :D). I don't wanna spoil anything(If you want PM me). Also, make sure you go to the best theatre close to you. (If you loved Donnie Darko, 2001: A Space Odyssey, this is the one for you, Get ready to get mind blown!!) Interstellar Movie is EPIC in all sense!!"
" Ambitions make the filming amazing and the plot illogical to sentimental absurdity
",secondtake,13 November 2014,
" No words
",alexanderbahchevanov1,7 November 2014,
" I'm wondering how this got such a good rating...
",bheadher,9 June 2017,"Interstellar has some good points, and some very bad points entertainment wise...First of all, the movie is extremely boring...which may tickle some people I suppose. Literally the first half of the movie is some sort of family affair for the stars, with shots of their flying a drone, and experiencing a huge dust storm at their big farm...only to have McGaunahey and his daughter go off searching for some ultra secret space base out in the boonies, where they find out there is a plan to go through a wormhole to somewhere else...Then we have a crazy robot that is a clone for the mystery obelisk in 2001. This robot never does anything much,except wiggle its segments and occasionally respond to voice...Then the trip into space, on a Saturn 5 rebuild, that links up to a spacecraft fixture in space, which promptly begins revolving to produce pseudo-gravity...A boring flight out to Saturn, through the wormy hole, and we arrive at somewhere else, supposedly a planet...land ""in"" the water, get thrashed by a tsunami, and here we are...still no solid plot at all...I remember watching the movie Contact, which was boring in it's own way, but this one is ten times worse...only one step above awful..."
" A truly awe-inspiring cinematic journey, just let it take you away
",eddie_baggins,9 November 2014,
" MicroReels Film Review - Interstellar
",krahl-81949,25 November 2015,"I'm a big fan of anything Sci-Fi and I've always been interested in the boundaries that directors push when it comes to imagining the impossible and predicting or presenting the future on screen. While most science fiction films step over into the fantastical and often prioritize the ""Fi"" over the ""Sci"", Interstellar is one of those rare gems that balances the two elements and also delivers a spectacularly entertaining movie.Any doubts I had going into the film about a dramatic SciFi being directed by Christopher Nolan were instantly muted as soon as the movie and its tremendous score began. While Nolan excelled with The Prestige and Inception, they did leave something to be desired and I was fresh off the Batman trilogy bandwagon. But Nolan excels yet again, directing the film with such confidence and control that it's almost impossible to tear your eyes away from the screen. Each and every aspect of his signature style is also prominently visible through the film.Continue reading the review at my blog below:https://microreels.wordpress.com/2015/11/25/interstellar-film- review/"
" A Brilliantly Emotional Journey
",liana-moisescu,9 November 2014,
" Astonishing sci-fi
",masonsaul,24 August 2020,"Interstellar is an astonishing sci-fi film that's thought provoking, emotional, breathtaking and complex. Matthew McConaughey gives an incredible lead performance and Michael Caine, Jessica Chastain, Anne Hathaway, Mackenzie Foy and David Gyasi all give great supporting performances. Christopher Nolan's direction is phenomenal and with Hoyte Van Hoytema as director of photography, consistently visually stunning. The visual effects are flawless. It's extremely well paced and the music by Hans Zimmer is beautiful."
" Depressing but Visually Stunning.
",anaconda-40658,25 December 2015,"Interstellar (2014): Dir: Christopher Nolan / Cast: Matthew McConaughey, Anne Hathaway, Jessica Chastain, Matt Damon, Michael Caine: The future looks grim with sand storms destroying everything and corn pretty much the only thing growing. As with Inception, Christopher Nolan toys with the theme of time. This time a farmer and pilot, played by Matthew McConaughey leaves his young son and daughter with their grandfather and then leads an expedition to space through a worm hole. This is in hopes of finding planets to colonize on. Unfortunately complication arise when McConaughey discovers that his son and daughter are now grown adults in the span of a few hours that he was on the first planet, surfaced mainly of water. Watching someone be subdued with grieving regret while his children rapidly grow old is very depressing. It lends the idea of valuing time spent with loved ones. McConaughey is caught in such a dilemma and hopes that his daughter is bright enough to figure it all out. Anne Hathaway plays the daughter of the scientist heading the research, and who joins McConaughey on the mission. Jessica Chastain plays the now grown daughter, stubborn, determined, and clever to boot. Matt Damon plays an astronaut revived from hyper sleep on an ice planet with a secret mission of his own. Michael Caine plays the scientist heading the research that might outlive him. This is hardly an uplifting experience but it contains Nolan's signature curiosity of time. Glorious special effects are out of this world creating what science only dreams of. Score: 8 / 10"
" One of the best films I have ever seen
",bb52366,12 July 2022,"First time I saw it was back in 2014 in Imax and it was hands down the best film I have ever seen in theaters. I went into it thinking it would probably bore me and it ended up being one of my all time favorite movies. The acting, score, visual effects and writing are outstanding. I would highly recommend giving this film a watch if you haven't already."
" They forgot to take the robot out of the box
",doughelo,17 November 2014,"Somewhere in Interstellar is a decent 90 minute movie padded to 3 hours. I thought it might feel long; what I didn't expect was the cheap, weepy emoting and Hallmark philosophizing.As for the padding, at least 40 minutes goes by before anyone mentions space, yet nothing of the ecological disaster is explained in any depth. No point is so trivial it can't be made ten times, no scene so long it can't be stretched beyond the breaking point. And oh, the sap – love is described as a kind of quantum effect that transcends time and space (as long as it's between parent and child).The supposed scientific accuracy was limited largely to the depiction of stellar lensing around the black hole and the silence of space. Howevvver Why do pickup trucks look exactly the same in the future? Why is the dust all over the trucks and house but not the crops? That was the most ridiculous robot I've ever seen (I love the comment that it was made of ""spinning HVAC ducts""). How does this lurching refrigerator even get itself through a hatch? Its interface is a crude text screen worthy of a PCjr, yet it has a complete human personality (so much so that I had a hard time distinguishing its voice from the crew).Do you always launch your rockets from the middle of your office buildings? Remarkable how those glass partitions in view stood up to the blast.Apparently having no idea of what a wormhole is BEFORE being sent through one, Matthew is shown the rudimentary folded paper analogy. Wouldn't that have come up on the first day of class? How does a mile-high wave form out of foot-deep water? The planet orbits a black hole? Where's your light and heat coming from? Any problem with the intense X-rays usually found around these things? Guess not.On Matt Damon's planet, exactly why aren't the ""frozen clouds"" falling? At least Avatar posited superconducting rocks and intense magnetic fields to explain their floating mountains.When Matt takes Matthew out to show him the ""surface"", just how far do they walk? The rescue pilot flies at hundreds of miles an hour for at least a few minutes.When Cooper returns to our solar system, at least 60 years has elapsed since he received his daughter's video messages (since she is now in her 90s or more), so has Anne Hathaway been alone all that time on her planet? I don't recall any mention that she was going to be in a slow time region. By the way, time only slows down significantly in a very high gravitational field, which they showed no signs of being in.Besides all that and much more, the plot was disjointed, with inarticulate dialog and confusing placement of people. For example, during the entire scene of the boosted entry towards the black hole, I didn't know Cooper was in the shuttle, separated from Anne Hathaway in the station, until he looked across at her.It's not a completely terrible movie, there are some great visuals that are impressive in IMAX. But they're dragged down with the padding and cheap sentiment."
" Inter-not quite-stellar
",Fluke_Skywalker,2 April 2015,"Unlike, say, Michael Bay, Christopher Nolan always reaches for the highest rung on the ladder. It's an admirable trait, and the results certainly speak for themselves. Unfortunately with 'Interstellar' his grasp on that rung is often tenuous, and the result is a film where awesome and awful play tug of war.Technically the film is brilliant. The F/X and the cinematography are absolutely first-rate. It's too bad they're in service to a convoluted and emotionally stunted story. The cast do what they can, but there's just nothing here for them to gain purchase, and as a result I experienced a total emotional detachment throughout."
" What a load of tosh
",MikesIDhasbeentaken,5 April 2015,
" After 6 years I went back... and this movie still blew my mind
",mussy_boi_84,11 November 2020,"Its been over 6 years since I see this movie and I had to re-watch it again (for the 4th time) to transport myself to a truly amazing outer world experience.The Nolan brothers wrote this masterpiece and Christopher Nolan directed - what amazing minds! This Sci-fi movie had everything I want and more in a movie.... action, love, intelligence, A-Class acting and space exploration. I adore every part of this film and the AI robots that follow the characters about in the film add a wonderful touch.This movie blew my mind back then and it still does now."
" General theory of relativity comes alive on screen
",SangamYadagiri,18 November 2014,
" Mumbling actors and extremely loud music - not a great combination.
",d_m_s,28 September 2015,
" Not a film to trick the intelligent community but nice to watch all the same
",christopherRclarke,6 November 2014,"It might sound arrogant, what i wrote in the summary field, but unfortunately this film misses many aspects of common sense. Given it was a Nolan film I did expect more than this but I think he may be slipping somewhat (the bat bike in Dark Knight Rises flipping over with its magical 360 deg wheel comes to mind).Im not going to get into a full review about what this film is about but I will say that if you are dealing with time paradoxes, make sure you know how to address them and not say 'ah what the hell, the audience won't know...'The film has a wormhole. One that is placed aaaaalllllll the way out near Saturn by someone we don't know (but lead to believe its evolved humans). I say, why not have the wormhole next to Earth? who knows. Did evolved humans make the wormhole? if so, how did they get off Earth to evolve and put it there?To watch the film is nice, the space scenes are stunning and film stock nice. But, no 2001 competitor this time round."
" Just fantastic
",Numerical999,5 June 2021,"I loved this movie, got round to watching it very late however it's still well worth the watch. Suggested this one to multiple people and they loved it too!"
" Space Without Odyssey
",TheFearmakers,11 July 2023,
" Stellar
",jakebunker,10 December 2021,"Oh my goodness! What an incredible film! I am a pretty big fan of Nolan's works; this is probably my favorite one (yes, better than Inception and Dark Knight). I enjoyed just about everything in this movie: the characters, the plot, the filming, the intensity, the emotion, the score and the visuals were all absolutely stellar. They were all very spectacularly made. It was just a movie that I could just sit back relax and watch and not search for every incorrect miniscule detail. Now it probably isn't the most interesting thing for kids, and the ending makes a perfect storyline go a little wonky. A small understanding of space time goes a long way into understanding this movie so I get where some people are coming from. But seriously please go watch this movie it is definitely one of the best ever made."
" By So Far, The Worst Movie In 15 Years. Period.
",denis888,21 June 2015,"This is awful. Awful in every single sense - this length of three endless hours, this snotty sentimental atmosphere, these unbearably slow and hammy dialogs. Everything is poor and mediocre in this production. The tonality is set wrong and it is false all through. Then, the cast - Matthew McConaughey is teary, lame and languid. He is the weakest chain here and his efforts to be endearing or touchy do not touch or endear. Anne Hathaway? Probably, her worst part in years. Michael Caine? John Lithgow? Nope, lame at all costs. Avoid this poorly scripted, badly shot, lousily edited slowpoke of a torture. This is just a mere waste of time, and the idea is lost in utter drabness. Let's be honest - I did not understand the idea, the moral and the message. I was totally sucked and drained. And them, this horrendous loud music that deafens the dialog and simply deafens. Why? Why was that so loud and boring? In a word, bad. Bad, bad, bad thing. The worst in years, and I mean it."
" So, They Could Communicate with the Past, and They Failed to Tell Which Planet?
",j889,2 June 2019,"I believe this movie should be rated 5-6 stars.
Cooper had the ability to communicate with the past, he just can't tell NASA or his daughter the destination???
If Cooper gave the right information, they could avoid all the death and sacrifice.Mankind from the future could control gravity, and space time, and they failed to gave solution to blight????When Cooper returned to the space station, he could share all his adventure stories, so future generations learnt his adventure, and in time, when they have the scientific ability, they could pass this information to Cooper in the first place or even people from even earlier. It's a paradox.Nolan tried to be scientifically correct. Cooper gave his daughter a mechanical Hamilton watch. I believe everyone knows how a mechanical watch, it is driven by springs and gears. A mechanical watch's movement direction won't be changed permanently by gravity. Gravity would slow down the watch, but when gravitational influence were gone, the movement should go back to normal, so there is no way, Cooper could use gravitational force to ""encode"" a message into the mechanical watch because the hand of the watch wouldn't stay ""jumpy"": moving back and foreth. He would have better luck using gravity to leave message on the floor. The whole ""watch"" narrative was a big mistake.Cooper loved his daughter, okay, but what about the other kid? He acted as if he only had one kid. That's just weird.It is a good movie, black hole, wormhole stuff are easy to understand, but when you really put your brain to it, you see plot holes. Entertaining but this movie is actually quite stupid."
" Unwatchable, give me the three hours back
",jonas-ua,24 November 2014,
" Visually stunning sci-fi thrill ride
",Screen_Blitz,1 April 2015,
" Scores on effects, fails on narrative!
",ssvikas,22 July 2015,"Christopher Nolan is known to experiment, such as the the non-linear narrative of 'Memento' and well written characters in 'The Dark Knight'. A director of his caliber also made the disappointing pseudo- intellectual 'Inception'. Sadly, 'Interstellar' too comes across as a let-down of sorts, despite interesting science.'Interstellar' has all the ingredients of a typical space sci-fi film: spacecraft, wormholes, stasis, strange planets, time travel, a black hole, robots running on artificial intelligence, father-daughter drama, etc., in the background of a dying Earth. While these concepts aren't new to Hollywood, the big budget allowed for the visual spectacle. Still, it is marred by choppy narrative, clichéd dialog and poorly developed characters that we hardly care about.Set in unspecified future, Earth's capacity to sustain life has diminished; crops are dying and there are dust storms. Agriculture takes precedence over everything. Cooper (Matthew McConaughey) is a former NASA test pilot turned farmer. A widowed Cooper lives with his father in law and children Tom and Murph. An inquisitive young Murph (Mackenzie Foy) is obsessed with the idea of a ghost in her bedroom and is always trying to decode signs.As it turns out, the signs are coordinates to a hidden space station of NASA, headed by Professor Brand (Michael Caine), in search of life sustaining planets so as to evacuate Earth. Predictably, our hero, Cooper is the only man who can pilot the mission to outer space, beyond our galaxy accessed through a wormhole. Damn, a trespasser at a hidden space station is suddenly asked to commandeer a spaceflight without any serious briefing or training!Joining Cooper on the mission are Amelia Brand (Anne Hathaway) and two other scientists that are expendable. Their mission is finding three of the ten manned probes that went through the portal earlier and have reported seemingly positive findings. Again, don't ask why manned missions when they had advanced AI robots like TARS and CASE? That brings us to the existential question: why a manned follow-up mission, huh?The overarching premise behind the mission is that certain benevolent 'beings' have opened up a wormhole and left clues through gravity- based anomalies. The aging professor has been working on a mathematical model to evacuate Earth. The model fails since it needs data from a gravitational singularity, where space and time can be bent. If Plan- A, to evacuate fails, Plan-B to populate extraterrestrial planets with genetic samples humans.Unbeknownst to the fatality of Plan-A, the crew continues to explore planets. One Planet has time distorted to a level where an hour on it equals seven years on earth. The planet doesn't make the cut due to its shallow waters and gigantic waves. The second is an icy planet with ice-clouds (filmed in Iceland) and a crazed explorer (Matt Damon) who tries to kill Cooper so that he can execute plan B at the third planet, Miller; Result: needless drama.As with every movie involving vehicles, terrestrial or extraterrestrial, fuel shortage and damage to the craft and the need for Singularity data are key plot elements towards the climax. Apropos, they need to slingshot past the black hole to the third planet which Amelia bets on, as her loved one went there during the original Lazarus project. Oh, a movie is so incomplete without a love angle! Glad there wasn't any romance between Cooper and Ameila.And then, our hero, Cooper dives into the event horizon of the beautifully depicted super-massive black hole and reaches singularity. But what is this singularity? Just like the limbo being linked to Cobb's dreams in 'Inception', the singularity in 'Interstellar' is actually a four dimensional tesseract presenting a single location to Cooper at various points in time. And the location? You guessed it: Murph's bedroom. How convenient!So, who's the ghost in Murph's life? Cooper! And the 'beings'? Cooper again! He opened up the wormhole near Saturn that took him through the same spot half a century later. Doesn't this create an inconsistent causal loop just like 'Grandfather Paradox' or a chicken going back in time and laying an egg that it is born out of? But then, an average moviegoer doesn't care as long as there are spectacular sights and happy endings!'Interstellar' is lengthy and tiresome, narrative is patchy and has excessive inter-cuts during crucial scenes. Spoiling experience further is the jarring and ominously heavy background score by Hans Zimmer that muffles out dialog. Acting is just passable: McConaughey is hardly a fit, Jessica Chastain as the grown up Murph is decent as the scientist and Michel Caine seems to be having his fourth outing with the director.Nolan's fiction works for audiences who believe they enjoy intelligent films, but actually watch them without thought or logic. As contradictory as it sounds, truth is stranger than fiction. Nolan's 'Inception' was full of plot holes, irrespective of whether it was deliberate or inept storytelling. Usually, a good narrative should have a logical end, except that it is Nolan and he likes keeping things ambiguous. I haven't come across anyone who understood 'Inception' or 'Interstellar' fully, despite claiming that they loved it.About the science in 'Interstellar', Nolan found played it safe by bringing a scientist on board, Kip Thore, as a consultant and executive producer. This would've surely had an impact on the depiction of a spinning black hole and other stuff like the four- dimensional tesseract within the event horizon, boxy but versatile AI robots, etc. Nonetheless, I'm still amazed at how an astronaut can dive into a black hole and come out totally unhurt!!If anything, Christopher Nolan must be admired for dreaming big. Sadly, this movie is a waste of a great concept turned into an average movie that sells only the basis of special effects bankrolled by a big budget. While die-hard Nolan fans would rave over this, discerning movie connoisseurs won't appreciate the poor storytelling."
" A rocket to nowhere
",jpt-154-298566,9 November 2014,
" boring, formulaic, annoying, uninspired
",dholliday-imdb,7 March 2015,
